CRN,Subject CodeCourse Number,Monday Ind1Tuesday Ind1Wednesday Ind1Thursday Ind1Friday Ind1,Begin Time 1,End Time1,Term Code,Bldg Code1,Room Code1,Section Max Enrollment
10607,ART352,MWF,0900,1050,201710,DMC,207,20
10850,CS311,W,1500,1650,201710,MBB,302,15
11255,CORE210,TR,0930,1050,201710,BSB,121,60
10376,POLS361,MW,1530,1650,201710,ADM,219,45
11040,BIOL221,TR,0930,1050,201710,OSC,457,40
11042,BIOL223,R,1330,1620,201710,OSC,427,20
10583,FREN221,TR,0930,1050,201710,BRT,100,20
11440,FREN400,,,,201710,,,3
11441,MATH185,,,,201710,,,0
11521,BUSA084,MTWRF,,,201710,,,15
11524,BUSA084,MTWRF,,,201710,,,15
10812,PEAC215,TR,1200,1320,201710,GIB,135,40
11011,SOCW250,TR,0930,1050,201710,ADM,101,35
11421,MFTO662,MTWRF,,,201710,,,20
11487,LEAD724,MTWRF,,,201710,,,20
10807,KINE473,TR,0800,0920,201710,GIB,136,20
10695,COMM376,TR,1500,1620,201710,SHB,217,35
10701,COMM499,M,1500,1750,201710,SHB,215,15
10704,COMM636,T,1800,2050,201710,,,20
11227,CORE110,MWF,1000,1050,201710,WPA,B5,30
11237,CORE110,MWF,1300,1350,201710,BSB,130,30
11248,CORE110,MWF,1000,1050,201710,ZEL,101,25
10872,ACCT211,TR,0930,1050,201710,MBB,117,35
10903,ACCT324,TR,0930,1050,201710,MBB,217,40
11096,AENV110,W,1530,1720,201710,ADM,327,18
10590,ART105,MWF,0800,0950,201710,DMC,220,20
11330,ART434,TR,0800,1050,201710,DMC,140,2
11331,ART490,TR,1500,1750,201710,DMC,140,1
11332,ART490,TR,1500,1750,201710,DMC,140,1
10308,BIBH664,T,1200,1450,201710,BSB,104,20
10429,BIBL101,TR,1330,1450,201710,BSB,130,60
10441,BIBL101,TR,1500,1620,201710,BSB,129,60
10426,BIBL211,MWF,1300,1350,201710,BSB,104,25
10427,BIBL211,TR,0800,0920,201710,BSB,112,30
10428,BIBL211,TR,1330,1450,201710,BSB,103,30
10404,BIBM395,MW,1500,1700,201710,,,5
10406,BIBM439,TR,1330,1450,201710,BSB,249,25
11027,BIOL112,MWF,0900,0950,201710,OSC,458,55
11038,BIOL115,T,1200,1430,201710,OSC,415,20
11043,BIOL291,TR,0930,1050,201710,OSC,458,34
11084,BIOL362,MWF,1000,1050,201710,OSC,457,35
11093,BIOL497,TR,0930,1050,201710,OSC,485,12
11094,BIOL498,MWF,1200,1250,201710,OSC,457,20
11138,BMFT603,,0000,0001,201710,,,8
10465,BUSA120,MWF,0900,0950,201710,MBB,201,65
10638,CHEM113,MWF,0900,0950,201710,OSC,157,40
10659,CHEM221,R,1330,1720,201710,OSC,258,18
